degree_name,field,program_description,duration,admission_requirements,institution_name,university,specialty,specialty_code,location,contact_info,bac_type,formula,formula_explanation,historical_scores_2022,historical_scores_2023,historical_scores_2024,minimum_bac_average,additional_requirements,notes,data_source
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,,,إقتصاد وتصرف,FG+Ang,,81.3285,88.1319,83.473,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,,,العلوم التقنية,FG+Ang,,106.105,117.9532,110.603,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,,,علوم الإعلامية,FG+Ang,,,,,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,,,رياضة,FG+Ang,,88.8116,117.5288,,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,,,آداب,FG+A,,88.9252,84.6116,90.84,84.6116,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,,,رياضيات,FG+A,,,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,,,علوم تجريبية,FG+A,,112.9829,,110.012,110.012,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,,,إقتصاد وتصرف,FG+A,,77.5951,80.6984,95.765,77.5951,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,,,علوم الإعلامية,FG+A,,88.5036,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,,,آداب,FG+A,,87.1234,87.4888,89.112,87.1234,,,extracted
