ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_institution,table_location,table_criteria,field_of_study,seven_percent,specialty,specialty_code,minimum_bac_average,program_description,duration,admission_requirements,formula_explanation,additional_requirements,notes,contact_info,historical_scores_2011,historical_scores_2012,historical_scores_2013,historical_scores_2014,historical_scores_2015,historical_scores_2016,historical_scores_2017,historical_scores_2018,historical_scores_2019,historical_scores_2020,historical_scores_2021,historical_scores_2022,historical_scores_2023,historical_scores_2024
30101,430101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=430101,4,إقتصاد وتصرف,05,جامعة سوسة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بسوسة,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,30101,78.853,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6101,86.9463,78.853
30101,630101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=630101,6,علوم الإعلامية,05,جامعة سوسة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بسوسة,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,30101,134.28,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.28
40101,140101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=140101,1,آداب,07,جامعة صفاقس,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بصفاقس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,40101,92.435,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3748,89.9482,92.435
40101,240101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=240101,2,رياضيات,07,جامعة صفاقس,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بصفاقس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,40101,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40101,340101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=340101,3,علوم تجريبية,07,جامعة صفاقس,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بصفاقس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,40101,120.006,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.445,112.775,120.006
40101,440101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=440101,4,إقتصاد وتصرف,07,جامعة صفاقس,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بصفاقس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,40101,81.705,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5634,89.455,81.705
40101,640101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=640101,6,علوم الإعلامية,07,جامعة صفاقس,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بصفاقس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,40101,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50101,150101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=150101,1,آداب,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50101,96.3,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3372,92.3033,96.3
50101,250101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=250101,2,رياضيات,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50101,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.84,0.0
50101,350101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=350101,3,علوم تجريبية,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50101,113.8427,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.8427,120.3,118.369
50101,450101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=450101,4,إقتصاد وتصرف,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50101,81.943,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2491,78.9251,81.943
50101,650101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=650101,6,علوم الإعلامية,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50101,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50102,150102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=150102,1,آداب,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.54,92.205,97.985
50102,250102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=250102,2,رياضيات,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.405,0.0,123.344
50102,350102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=350102,3,علوم تجريبية,08,جامعة قابس,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بقابس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,50102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.495,140.8388,144.488
